lf,janela,grupo,arquivo,gasto,leads,conv,receita,roas
LF40,semana,Champion,LF40 - 08:12 a 14:12.xlsx,9003.43,2871.0,7.0,6243.988466666667,0.6935121910945791
LF40,semana,Controle,LF40 - 08:12 a 14:12.xlsx,11247.5,2574.0,8.0,7620.929066666667,0.6775664873675632
LF40,60d,Champion,LF40 - 08:12 a 06:02.xlsx,9003.43,2871.0,18.0,18139.9154,2.014778301158559
LF40,60d,Controle,LF40 - 08:12 a 06:02.xlsx,13193.09,3160.0,39.0,34713.01626666667,2.63115132744995
LF41,semana,Champion,LF41 - 15:12 a 21:12.xlsx,9550.91,3260.0,21.0,19465.63933333333,2.03809263550105
LF41,semana,Controle,LF41 - 15:12 a 21:12.xlsx,9484.42,2157.0,18.0,17724.7248,1.868825378884529
LF41,60d,Champion,LF41 - 15:12 a 13:02.xlsx,9550.91,3260.0,28.0,25704.31113333333,2.691294456060557
LF41,60d,Controle,LF41 - 15:12 a 13:02.xlsx,9484.42,2157.0,28.0,22679.21326666667,2.391207186803902
LF42,semana,Champion,LF42 - 22:12 a 28:12.xlsx,9987.39,3008.0,18.0,13221.4436,1.323813689061907
LF42,semana,Controle,LF42 - 22:12 a 28:12.xlsx,14188.89,3075.0,14.0,5874.0812,0.4139915948322949
LF42,60d,Champion,LF42 - 22:12 a 20:02.xlsx,9987.390000000001,3008.0,30.0,25337.37053333333,2.536936129793002
LF42,60d,Controle,LF42 - 22:12 a 20:02.xlsx,14188.89,3075.0,32.0,20382.2654,1.436494708183657
LF43,semana,Champion,LF43 - 02:02 a 08:02.xlsx,27460.31,11403.0,62.0,62780.56013333333,2.286229111518892
LF43,semana,Controle,LF43 - 02:02 a 08:02.xlsx,55906.48,15217.0,35.0,30274.85133333333,0.5415266948184421
LF43,60d,Champion,LF43 - 02:02 a 03:04.xlsx,27460.31,11403.0,92.0,94061.69931733333,3.425369171627463
LF43,60d,Controle,LF43 - 02:02 a 03:04.xlsx,55906.48,15217.0,65.0,53851.53520966666,0.9632431734150794
LF44,semana,Champion,LF44 - 09:02 a 15:02.xlsx,42450.57,18565.0,92.0,81275.77796033333,1.91459803626508
LF44,semana,Controle,LF44 - 09:02 a 15:02.xlsx,10887.15,4246.0,17.0,13623.5536,1.251342509288473
LF44,60d,Champion,LF44 - 09:02 a 10:04.xlsx,42450.57,18565.0,152.0,140944.6698763333,3.320206769339807
LF44,60d,Controle,LF44 - 09:02 a 10:04.xlsx,10887.15,4246.0,42.0,30535.86326666667,2.804761876769096
LF45,semana,Champion,LF45 - 02:03 a 08:03.xlsx,115878.97,52334.0,243.0,190221.961619,1.641557235268833
LF45,semana,Controle,LF45 - 02:03 a 08:03.xlsx,305.5099999999999,124.0,9.0,1937.94,6.343294818500214
LF45,60d,Champion,LF45 - 02:03 a 01:05.xlsx,115878.97,52334.0,534.0,456733.9065043333,3.941473647067568
LF45,60d,Controle,LF45 - 02:03 a 01:05.xlsx,305.5099999999999,124.0,37.0,18145.734016,59.39489383653564
LF46,semana,Champion,LF46 - 09:03 a 15:03.xlsx,55767.11,20058.0,85.0,69194.23684700001,1.240771430454259
LF46,60d,Champion,LF46 - 09:03 a 08:05.xlsx,55767.11,20058.0,516.0,359861.0553813333,6.452926382258886
LF47,semana,Champion,LF47 - 16:03 a 22:03.xlsx,65891.12,23207.0,265.0,180420.0629266667,2.738154442156495
LF47,60d,Champion,LF47 - 16:03 a 15:05.xlsx,65891.12,23207.0,630.0,363687.519657,5.519522504049104
LF48,semana,Champion,LF48 - 23:03 a 29:03.xlsx,82191.02,29108.0,145.0,58268.929248,0.7089452016534166
LF48,60d,Champion,LF48 - 23:03 a 22:05.xlsx,82191.02,29108.0,476.0,298826.749186,3.635759103439767
LF49,semana,Champion,LF49 - 30:03 a 05:04.xlsx,96631.46,6248.0,183.0,93916.978316,0.9719089240295034
LF49,60d,Champion,LF49 - 30:03 a 29:05.xlsx,96631.45999999999,6248.0,469.0,298326.123574,3.08725671302079
LF50,semana,Champion,LF50 - 01:04 a 06:04.xlsx,85364.36,8225.0,129.0,50991.17189433333,0.5973356081429455
LF50,60d,Champion,LF50 - 01:04 a 31:05.xlsx,85364.36,8225.0,396.0,263143.3598643333,3.082590437793165
LF51,semana,Champion,LF51 - 13:04 a 19:04.xlsx,146048.5,11238.0,190.0,117661.547387,0.8056333847112431
LF51,semana,Challenger,LF51 - 13:04 a 19:04.xlsx,6401.66,1302.0,16.0,10492.024126,1.638953666080361
LF51,60d,Champion,LF51 - 13:04 a 12:06.xlsx,146048.5,11238.0,463.0,303728.7917833333,2.079643349868936
LF51,60d,Challenger,LF51 - 13:04 a 12:06.xlsx,6401.66,1302.0,28.0,14933.534726,2.332759741379579
LF52,semana,Champion,LF52 - 17:04 a 24:04.xlsx,104237.41,239.0,114.0,59585.78239966667,0.5716352929305004
LF52,semana,Challenger,LF52 - 17:04 a 24:04.xlsx,5801.33,39.0,5.0,3050.772926,0.5258747435501859
LF52,60d,Champion,LF52 - 17:04 a 16:06.xlsx,104237.41,239.0,379.0,256783.8808783333,2.463452237333346
LF52,60d,Challenger,LF52 - 17:04 a 16:06.xlsx,5801.33,39.0,25.0,12714.174726,2.191596534932507
