lf,base,janela,cenario,n_champ,n_chall,n_ctrl,rec_champ,rec_chall,rec_ctrl,rec_ml,orf_semana,sp_champ,sp_chall,sp_ctrl,sp_ml,roas_champ,roas_chall,roas_ctrl,roas_ml,roas_mais_champ_%,roas_mais_chall_%,roas_mais_ml_%,dinheiro_novo
DEV19,contratado,7d,piso,132,0,89,265567.74,0.0,184869.4,265567.74,179307.08,86358.37,0.0,112472.17,86358.37,3.0751824055965855,,1.6436901679766647,3.0751824055965855,87.09015029164813,,87.09015029164813,123621.33630850905
DEV19,contratado,7d,teto,132,0,89,371283.21453125024,0.0,258461.00546874973,371283.21453125024,179307.08,86358.37,0.0,112472.17,86358.37,4.299330968512377,,2.2979996337649546,4.299330968512377,87.09015029164813,,87.09015029164813,172831.7118987118
DEV19,contratado,60d,piso,192,0,131,395967.83,0.0,270749.82,395967.83,0.0,86358.37,0.0,112472.17,86358.37,4.585170262013977,,2.407260569436866,4.585170262013977,90.47253630239925,,90.47253630239925,188080.73105816045
DEV19,recebido,7d,piso,132,0,89,124942.48966733333,0.0,73497.55686666667,124942.48966733333,65397.183865000006,86358.37,0.0,112472.17,86358.37,1.44679073571367,,0.6534732713582984,1.44679073571367,121.400139703709,,121.400139703709,68509.60311426301
DEV19,recebido,7d,teto,132,0,89,166118.08457390624,0.0,97719.14582509376,166118.08457390624,65397.183865000006,86358.37,0.0,112472.17,86358.37,1.9235898567088083,,0.8688295586818834,1.9235898567088083,121.400139703709,,121.400139703709,91087.38007831945
DEV19,recebido,60d,piso,192,0,131,157667.15521266666,0.0,98567.414875,157667.15521266666,0.0,86358.37,0.0,112472.17,86358.37,1.8257310230921064,,0.8763715937462574,1.8257310230921064,108.32841184269655,,108.32841184269655,81985.13286243769
LF40,contratado,7d,piso,5,0,6,10595.2,0.0,10391.8,10595.2,101255.94999999998,9003.43,0.0,13193.09,9003.43,1.1767959544307003,,0.7876699090205554,1.1767959544307003,49.40217227467934,,49.40217227467934,3503.4691110270605
LF40,contratado,7d,teto,5,0,6,61713.84684995473,0.0,60529.10315004525,61713.84684995473,101255.94999999998,9003.43,0.0,13193.09,9003.43,6.854481775273949,,4.587939834416748,6.854481775273949,49.40217227467938,,49.40217227467938,20406.651706571953
LF40,contratado,60d,piso,12,0,17,24981.0,0.0,31579.2,24981.0,0.0,9003.43,0.0,13193.09,9003.43,2.774609232259261,,2.393616658417399,2.774609232259261,15.917025497882564,,15.917025497882564,3430.2399691050377
LF40,recebido,7d,piso,5,0,6,4223.7812,0.0,5877.255133333333,4223.7812,57719.24106666667,9003.43,0.0,13193.09,9003.43,0.4691302314784477,,0.44547980293724465,0.4691302314784477,5.308978854993041,,5.308978854993041,212.9349778407236
LF40,recebido,7d,teto,5,0,6,28359.269604406425,0.0,39461.00779559358,28359.269604406425,57719.24106666667,9003.43,0.0,13193.09,9003.43,3.149829521016593,,2.9910360495982045,3.149829521016593,5.308978854993063,,5.308978854993063,1429.6859043724617
LF40,recebido,60d,piso,12,0,17,13774.717533333334,0.0,14322.058133333334,13774.717533333334,0.0,9003.43,0.0,13193.09,9003.43,1.529941092820551,,1.0855726848928746,1.529941092820551,40.934007838593246,,40.934007838593246,4000.8398549882804
LF41,contratado,7d,piso,20,0,19,41177.4,0.0,40180.4,41177.4,72503.59999999998,9550.91,0.0,9484.42,9550.91,4.311358812929868,,4.236463589760892,4.311358812929868,1.7678712818396392,,1.7678712818396392,715.3175359168017
LF41,contratado,7d,teto,20,0,19,77873.44805734667,0.0,75987.95194265331,77873.44805734667,72503.59999999998,9550.91,0.0,9484.42,9550.91,8.153510823298165,,8.011871252290947,8.153510823298165,1.7678712818396392,,1.7678712818396392,1352.7867951285443
LF41,contratado,60d,piso,24,0,23,48868.4,0.0,47778.6,48868.4,0.0,9550.91,0.0,9484.42,9550.91,5.1166223951435,,5.037587960043946,5.1166223951435,1.5688943940318723,,1.5688943940318723,754.8507765366812
LF41,recebido,7d,piso,20,0,19,17628.798733333333,0.0,16711.758133333333,17628.798733333333,33819.351733333344,9550.91,0.0,9484.42,9550.91,1.8457716315338888,,1.7620221514160415,1.8457716315338888,4.753032193752071,,4.753032193752071,799.8837471523475
LF41,recebido,7d,teto,20,0,19,34990.0356903685,0.0,33169.87290963151,34990.0356903685,33819.351733333344,9550.91,0.0,9484.42,9550.91,3.6635289925639025,,3.4973011433099237,3.6635289925639025,4.753032193752049,,4.753032193752049,1587.6272277183161
LF41,recebido,60d,piso,24,0,23,22439.520533333332,0.0,18178.898733333335,22439.520533333332,0.0,9550.91,0.0,9484.42,9550.91,2.3494641383212,,1.9167116948989327,2.3494641383212,22.57785793105864,,22.57785793105864,4133.179639406168
LF42,contratado,7d,piso,18,0,12,38386.8,0.0,25998.0,38386.8,27385.200000000004,9987.39,0.0,14188.89,9987.39,3.8435266871525,,1.8322786349037874,3.8435266871525,109.76758741469048,,109.76758741469048,20087.118684548266
LF42,contratado,7d,teto,18,0,12,54714.10388787416,0.0,37055.89611212585,54714.10388787416,27385.200000000004,9987.39,0.0,14188.89,9987.39,5.478318548477046,,2.611613460399358,5.478318548477046,109.76758741469048,,109.76758741469048,28630.901729616216
LF42,contratado,60d,piso,23,0,17,48778.6,0.0,36389.8,48778.6,0.0,9987.39,0.0,14188.89,9987.39,4.884018747640775,,2.5646685540588448,4.884018747640775,90.43469534928117,,90.43469534928117,23164.254929878236
LF42,recebido,7d,piso,18,0,12,13221.4436,0.0,5507.347866666667,13221.4436,8961.286333333333,9987.39,0.0,14188.89,9987.39,1.3238136890619072,,0.38814508158613303,1.3238136890619072,241.06156482834126,,241.06156482834126,9344.887293617472
LF42,recebido,7d,teto,18,0,12,19547.593477342012,0.0,8142.484322657988,19547.593477342012,8961.286333333333,9987.39,0.0,14188.89,9987.39,1.957227411500103,,0.5738633763922328,1.957227411500103,241.06156482834123,,241.06156482834123,13816.19613059599
LF42,recebido,60d,piso,23,0,17,19098.698733333335,0.0,11384.603000000001,19098.698733333335,0.0,9987.39,0.0,14188.89,9987.39,1.9122812600021963,,0.8023603678652806,1.9122812600021963,138.3319686003329,,138.3319686003329,11085.21281891931
LF43,contratado,7d,piso,44,0,29,92572.31,0.0,56364.200000000004,92572.31,66822.49,27460.31,0.0,55906.48,27460.31,3.371131280018324,,1.0081872441262623,3.371131280018324,234.37551403855434,,234.37551403855434,64887.175738247155
LF43,contratado,7d,teto,44,0,29,134106.19755552214,0.0,81652.80244447786,134106.19755552214,66822.49,27460.31,0.0,55906.48,27460.31,4.883637422721089,,1.4605248344105701,4.883637422721089,234.37551403855434,,234.37551403855434,93999.73283990922
LF43,contratado,60d,piso,112,0,64,213355.13,0.0,122441.95,213355.13,0.0,27460.31,0.0,55906.48,27460.31,7.769581989424008,,2.1901208947513773,7.769581989424008,254.75584969048074,,254.75584969048074,153213.7312926498
LF43,recebido,7d,piso,44,0,29,54060.6362,0.0,27916.494866666668,54060.6362,20235.576546999993,27460.31,0.0,55906.48,27460.31,1.9686826623588736,,0.4993427392793584,1.9686826623588736,294.2547888450401,,294.2547888450401,40348.529783139646
LF43,recebido,7d,teto,44,0,29,67405.18885475176,0.0,34807.51875891491,67405.18885475176,20235.576546999993,27460.31,0.0,55906.48,27460.31,2.454640492214099,,0.62260258129138,2.454640492214099,294.2547888450401,,294.2547888450401,50308.32896569026
LF43,recebido,60d,piso,112,0,64,92741.62921733333,0.0,46559.965743,92741.62921733333,0.0,27460.31,0.0,55906.48,27460.31,3.3772972416310423,,0.832818767037381,3.3772972416310423,305.5260730549138,,305.5260730549138,69872.16770066907
LF44,contratado,7d,piso,325,0,9,625011.4,0.0,16397.0,625011.4,15717.75,42450.57,0.0,10887.15,42450.57,14.723274622696469,,1.5060874517206064,14.723274622696469,877.5843099865211,,877.5843099865211,561077.1292046128
LF44,contratado,7d,teto,325,0,9,640327.3405650909,0.0,16798.809434909177,640327.3405650909,15717.75,42450.57,0.0,10887.15,42450.57,15.084069320272752,,1.5429942119755105,15.084069320272752,877.5843099865211,,877.5843099865211,574826.3567600297
LF44,contratado,60d,piso,411,0,25,791760.71,0.0,46708.42,791760.71,0.0,42450.57,0.0,10887.15,42450.57,18.65135638932528,,4.290233899597232,18.65135638932528,334.73984929064756,,334.73984929064756,609637.8355287747
LF44,recebido,7d,piso,325,0,9,348633.6858973333,0.0,9082.4324,348633.6858973333,12112.204199999998,42450.57,0.0,10887.15,42450.57,8.212697400702353,,0.8342341567811594,8.212697400702353,884.4594990440736,,884.4594990440736,313219.9704285037
LF44,recebido,7d,teto,325,0,9,360438.36055020214,0.0,9389.961947131162,360438.36055020214,12112.204199999998,42450.57,0.0,10887.15,42450.57,8.490777875307732,,0.8624811770877743,8.490777875307732,884.4594990440736,,884.4594990440736,323825.5429685552
LF44,recebido,60d,piso,411,0,25,394925.43318,0.0,14673.3136,394925.43318,0.0,42450.57,0.0,10887.15,42450.57,9.303183283051323,,1.3477644378923777,9.303183283051323,590.2677516554422,,590.2677516554422,337712.06456573895
LF45,contratado,7d,piso,183,0,0,357831.09,0.0,0.0,357831.09,54306.58,115878.97,0.0,305.5099999999999,115878.97,3.0879726493944504,,0.0,3.0879726493944504,,,,
LF45,contratado,7d,teto,183,0,0,412137.67000000004,0.0,0.0,412137.67000000004,54306.58,115878.97,0.0,305.5099999999999,115878.97,3.556621792547863,,0.0,3.556621792547863,,,,
LF45,contratado,60d,piso,393,0,0,839472.39,0.0,0.0,839472.39,0.0,115878.97,0.0,305.5099999999999,115878.97,7.244389469461111,,0.0,7.244389469461111,,,,
LF45,recebido,7d,piso,183,0,0,163545.60565233332,0.0,0.0,163545.60565233332,40042.684400000006,115878.97,0.0,305.5099999999999,115878.97,1.411348458243401,,0.0,1.411348458243401,,,,
LF45,recebido,7d,teto,183,0,0,203588.29005233332,0.0,0.0,203588.29005233332,40042.684400000006,115878.97,0.0,305.5099999999999,115878.97,1.7569045535383454,,0.0,1.7569045535383454,,,,
LF45,recebido,60d,piso,393,0,0,261572.96720166667,0.0,0.0,261572.96720166667,0.0,115878.97,0.0,305.5099999999999,115878.97,2.257294547937962,,0.0,2.257294547937962,,,,
LF46,contratado,7d,piso,54,0,0,112501.91,0.0,0.0,112501.91,22963.75,55767.11,0.0,0.0,55767.11,2.017352342626326,,,2.017352342626326,,,,
LF46,contratado,7d,teto,54,0,0,135465.66,0.0,0.0,135465.66,22963.75,55767.11,0.0,0.0,55767.11,2.4291317947083866,,,2.4291317947083866,,,,
LF46,contratado,60d,piso,184,0,0,432688.83,0.0,0.0,432688.83,0.0,55767.11,0.0,0.0,55767.11,7.758853381500314,,,7.758853381500314,,,,
