lf,grupo,gasto
LF40,Champion,9003.43
LF40,Controle,13193.09
LF41,Champion,9550.91
LF41,Controle,9484.42
LF42,Champion,9987.390000000001
LF42,Controle,14188.89
LF43,Champion,27460.31
LF43,Controle,55906.48
LF44,Champion,42450.57
LF44,Controle,10887.15
LF45,Champion,115878.97
LF45,Controle,305.5099999999999
LF46,Champion,55767.11
LF47,Champion,65891.12
LF48,Champion,82191.02
LF49,Champion,96631.45999999999
LF50,Champion,85364.36
LF51,Champion,146048.5
LF51,Challenger,6401.66
LF52,Champion,104237.41
LF52,Challenger,5801.33
LF53,Champion,120496.15
LF53,Challenger,5473.030000000001
LF53,Controle,2911.26
LF54,Champion,41623.66
LF54,Controle,2723.45
LF55,Champion,30972.32
LF56,Champion,20169.34
LF56,Challenger,2739.23
LF56,Controle,18921.83
DEV19,Champion,86358.37
DEV19,Controle,112472.17
